จังหวัด,Province,year-2541-1998,year-2543-2000,year-2545-2002,year-2547-2004,year-2549-2006,year-2550-2007,year-2552-2009,year-2554-2011,year-2556-2013,year-2558-2015
กรุงเทพมหานคร,Bangkok,26054,26909,29589,29843,36658,39020,42380,48951,49190.8,45571.7
สมุทรปราการ,Samut Prakan,18100,15745,19680,19946,20382,21302,23359,23797.9,29575.3,25457.2
นนทบุรี,Nonthaburi,24211,24566,29119,26658,31152,32743,34626,35119.7,30663.6,36884
ปทุมธานี,Pathum Thani,21793,19282,22838,21530,25143,26107,26686,21615.5,33461.3,41056.9
พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,12918,14904,13319,14980,19676,21676,25820,22301.7,26481.5,28379.4
อ่างทอง,Ang Thong,10878,12544,11653,12855,18300,17704,25506,21139.9,28641.3,23350.6
ลพบุรี,Lop Buri,10587,10649,11010,15003,19935,16852,22405,17177.7,23425.5,22955.1
สิงห์บุรี,Sing Buri,10786,11894,14434,14788,18510,20558,25419,26067.7,28115.4,26112.2
ชัยนาท,Chai Nat,11159,12693,11119,13383,13058,13995,18719,20180.6,32753.5,22058.9
สระบุรี,Saraburi,13281,12319,14677,18742,20468,22363,21947,27114.1,32833.6,29413.4
ชลบุรี,Chon Buri,14075,13807,16797,22286,21869,22260,24052,23007.2,28366.5,27256.7
ระยอง,Rayong,12491,14739,13255,18962,20018,25090,22983,21929,30400.8,30314.8
จันทบุรี,Chanthaburi,15548,11527,15959,15897,20606,18866,19442,24277.6,27283.5,36023.5
ตราด,Trat,11703,7426,13822,14080,20286,16664,16949,28118.2,21652.8,25332.9
ฉะเชิงเทรา,Chachoengsao,14010,13781,14829,16938,16770,20665,21252,23030.7,34548.3,27554.9
ปราจีนบุรี,Prachin Buri,9852,10477,12720,15032,16031,18263,22548,25338.1,21038.9,24165.6
นครนายก,Nakhon Nayok,11809,12595,10722,13096,14104,15983,17503,17042.4,23390.6,23555
สระแก้ว,Sa Kaeo,6958,8355,9951,10777,11577,13593,15525,17781.1,24805.2,26953.4
ราชบุรี,Ratchaburi,12868,15174,14692,19867,23202,17576,20994,18713.1,25741.6,19590
กาญจนบุรี,Kanchanaburi,13082,11680,15380,12122,15606,15326,17571,15209.9,18746,18883.8
สุพรรณบุรี,Suphan Buri,12409,13334,12984,15781,14783,15112,15797,15927.8,17260.3,15786.2
นครปฐม,Nakhon Pathom,15178,18297,18674,20701,33835,25447,24989,22954.8,30855.5,40347
สมุทรสาคร,Samut Sakhon,17565,13775,16437,15347,19555,18735,20978,20850.2,23658.3,29347.4
สมุทรสงคราม,Samut Songkhram,11540,13072,13876,12528,16923,12634,18363,15068,16256.5,18310.2
เพชรบุรี,Phetchaburi,14135,12390,15993,13040,15042,17855,17440,20025.8,21784.3,26430.7
ประจวบคีรีขันธ์,Prachuap Khiri Khan,10017,10840,11666,13806,16238,17932,16934,17477,28459.2,23522.6
เชียงใหม่,Chiang Mai,10349,9243,9582,12586,14904,14386,16141,18323.2,14392.7,14950.4
ลำพูน,Lamphun,8722,10231,11328,11843,14361,14104,20048,18778.4,22504.5,23834.3
ลำปาง,Lampang,14177,9735,9759,10576,15585,13531,14020,18453.6,19262.1,20466.2
อุตรดิตถ์,Uttaradit,10044,7270,8581,10940,14220,15001,15865,17602.2,21344.4,19239.4
แพร่,Phrae,8522,9366,10048,11333,12591,14045,13034,18157.2,19417.8,21795.5
น่าน,Nan,7387,7334,8130,10751,10590,11407,14624,16249.3,17597.5,17886.2
พะเยา,Phayao,7491,5928,9520,9643,10352,11348,13189,14456.8,15491.1,17673.1
เชียงราย,Chiang Rai,8924,7930,8369,8920,10495,13736,13278,15033.7,13510.1,13497.2
แม่ฮ่องสอน,Mae Hong Son,5934,6317,6696,8676,6544,7245,7936,9024.3,8820.9,15119.4
นครสวรรค์,Nakhon Sawan,9500,7602,9660,10200,14953,15141,17127,21560.9,24158.3,21952.3
อุทัยธานี,Uthai Thani,7887,9598,6519,9817,13258,12036,17425,18487.1,20149.7,20114.5
กำแพงเพชร,Kamphaeng Phet,9769,12354,12583,12776,15337,15559,18115,18671.9,22082.6,20140.2
ตาก,Tak,9423,9674,7763,9549,10963,10791,12453,12935.6,17020,20079.4
สุโขทัย,Sukhothai,10475,7156,8299,11427,13843,12720,15411,18098.4,24121.2,22251.5
